partition 1 (mean = 0.134930)       partition 2 (mean = 0.090506)
9.853598018466008801e-02             6.209448948529133067e-02
1.051518961312017664e-01             9.124534446764959172e-02
6.506996944044109166e-02             5.008423559199619290e-02
1.104184753331799024e-01             6.950939651521639839e-02
2.345720074279374345e-01             3.468280502190110998e-02
2.212555663878539303e-01             9.250908487316497619e-02
1.297001873512775849e-01             6.289510721165884888e-02
1.201102028493544888e-01             1.522710780737023817e-01
8.363599014874555371e-01             6.393767820452320172e-02
1.446062372107005493e-02             1.058708999940850479e-02
6.131431754673143109e-02             5.396843368397974405e-02
1.828221905952153725e-01             2.694139875512300761e-02
3.749812562773053859e-01             6.886120063671630209e-02
1.547212022115803665e-01             8.394662110039552427e-02
1.302540954252244254e-01             7.617553045000070855e-02
1.433069597859580602e-01             7.618781238702691805e-02
2.854873286406845248e-02             7.733702762182889136e-03
1.067701664557934027e-01             6.439169200574906826e-02
1.477245665544220654e-01             9.918978194494418310e-02
2.964934897901114891e-02             1.198123212669213733e-01
8.632065949098940982e-02             9.419313963511673216e-02
6.309659660711278706e-01             2.303572086906989502e-02
1.249745556736437946e-01             1.132914026988023348e-01
6.985164880787614328e-02             8.648821574756393460e-02
8.464186345494532915e-02             6.612600946022231807e-02
9.468636652225273509e-02             1.375420126114867136e-01
1.422132949487597275e-01             5.367696866267016725e-02
1.503749439400789423e-01             8.588166698156891876e-02
1.479091621760107444e-01             1.241476041224328919e-01
1.030207361011668127e-01             1.405346288248785214e-01
9.475113768215524812e-02             1.405991490868059024e-01
7.613348254414685767e-01             6.073489428418478442e-02
1.248087881791175129e-02             6.605613555351133766e-03
1.871936256081966898e-01             9.728153954328216946e-02
5.908189028248855834e-02             2.142303641756264643e-01
2.921253092866847589e-02             1.742042351244720566e-01
2.650597447142681931e-02             1.782848951206875143e-02
2.354139638709123322e-02             2.212018592173008447e-01
1.207696450355084938e-01             6.527840374262869338e-02
1.954806368327299468e-02             2.040719560771598606e-01
2.551168403394757020e-02             1.995664431927285931e-01
6.328853173856729963e-02             1.389643800905147608e-01
2.725937511157526874e-02             1.651035873860442760e-01
9.107010948533825201e-02             8.267309099428690744e-02
9.624325964635269126e-02             7.838309266285671539e-02
2.459290248561726011e-01             6.661284923678549574e-02
2.470378957038512069e-01             5.968489705458069478e-02
9.560432236926227900e-02             8.538187100628638615e-02
7.034630043955444889e-02             7.297904353294767943e-02
6.247997744302958428e-02             5.981711465442406811e-02
1.893136780179115186e-01             8.835919107749902468e-02
8.448855297819252153e-02             1.316220053457557992e-01
1.299540592226910984e-01             5.412087685497089795e-02
1.239034918361671400e-01             6.451669625266326369e-02
1.754202593584069103e-01             7.575718401789306722e-02
1.104981423926360701e-01             6.591063924210939506e-02
9.338892099442776262e-02             1.139088873506258065e-01
7.988711616352420219e-02             5.536094207489101332e-02
1.011412619041899830e-01             5.520023157437436989e-02
1.391699478747927265e-01             5.932171616765885558e-02
1.137857243844410948e-01             4.470335824156945054e-02
9.815091101683401376e-02             3.828842604972505087e-02
1.356389240152422460e-01             6.443772720983385882e-02
1.988675147025489032e-01             6.931101756740071229e-02
2.532040719319171573e-02             7.692574283148020942e-02
2.072647927468369844e-02             1.956351315200624830e-01
9.858576917899314340e-02             6.883977023346739277e-02
